departement;annee;mois;AOP;IGP;sansIG
01;2011;aout;1320;54;461
02;2011;aout;3674;0;30
03;2011;aout;1891;111;123
04;2011;aout;2211;3764;1026
05;2011;aout;0;503;4
06;2011;aout;0;0;0
07;2011;aout;12508;50233;3386
08;2011;aout;0;0;0
09;2011;aout;0;0;110
10;2011;aout;10693;0;818
11;2011;aout;59049;137470;59913
12;2011;aout;1214;253;436
13;2011;aout;16198;9416;1864
14;2011;aout;0;0;0
15;2011;aout;18;15;1
16;2011;aout;2360;738;5052
17;2011;aout;191;3015;1032
18;2011;aout;5850;206;25
19;2011;aout;0;411;4
2A;2011;aout;1382;333;173
2B;2011;aout;8022;16069;1982
21;2011;aout;21337;99;0
22;2011;aout;0;0;0
23;2011;aout;0;0;0
24;2011;aout;53483;430;513
25;2011;aout;0;19;19
26;2011;aout;45914;4681;1638
27;2011;aout;0;0;0
28;2011;aout;0;0;0
29;2011;aout;0;0;0
30;2011;aout;71580;138907;21959
31;2011;aout;3241;1865;956
32;2011;aout;19893;62151;45080
33;2011;aout;493590;359;11259
34;2011;aout;47844;212155;40834
35;2011;aout;0;0;0
36;2011;aout;812;8;123
37;2011;aout;37299;1011;873
38;2011;aout;643;101;126
39;2011;aout;3737;240;19
40;2011;aout;1165;1797;1571
41;2011;aout;16307;3349;2816
42;2011;aout;2864;1125;169
43;2011;aout;0;0;1
44;2011;aout;41176;7869;24247
45;2011;aout;498;14;7
46;2011;aout;18995;3764;1255
47;2011;aout;16910;169;2075
48;2011;aout;0;38;0
49;2011;aout;26220;3576;2416
50;2011;aout;0;0;0
51;2011;aout;43835;0;9795
52;2011;aout;0;0;161
53;2011;aout;0;0;0
54;2011;aout;409;29;0
55;2011;aout;0;90;49
56;2011;aout;0;0;0
57;2011;aout;160;0;70
58;2011;aout;2879;100;219
59;2011;aout;0;0;0
60;2011;aout;0;0;0
61;2011;aout;0;0;0
62;2011;aout;0;0;0
63;2011;aout;606;32;60
64;2011;aout;5723;0;59
65;2011;aout;185;0;34
66;2011;aout;31384;19822;3980
67;2011;aout;13921;0;7
68;2011;aout;18263;0;17
69;2011;aout;31466;93;317
70;2011;aout;0;292;0
71;2011;aout;52493;5;1471
72;2011;aout;289;21;88
73;2011;aout;6843;269;80
74;2011;aout;476;26;4
75;2011;aout;0;0;0
76;2011;aout;0;0;0
77;2011;aout;0;0;0
78;2011;aout;0;0;0
79;2011;aout;394;20;47
80;2011;aout;0;0;0
81;2011;aout;13466;11291;8984
82;2011;aout;1722;813;1021
83;2011;aout;70209;27662;4931
84;2011;aout;132186;29977;12917
85;2011;aout;1383;844;369
86;2011;aout;1336;242;662
87;2011;aout;0;0;0
88;2011;aout;0;0;14
89;2011;aout;23133;0;63
90;2011;aout;0;0;0
91;2011;aout;0;0;0
92;2011;aout;0;0;0
93;2011;aout;0;0;0
94;2011;aout;0;0;0
95;2011;aout;0;0;0
01;2011;septembre;959;42;332
02;2011;septembre;7386;0;2069
03;2011;septembre;1280;14;869
04;2011;septembre;176;444;4
05;2011;septembre;0;201;4
06;2011;septembre;0;0;0
07;2011;septembre;10018;50603;2022
08;2011;septembre;0;0;0
09;2011;septembre;0;214;3
10;2011;septembre;31774;0;5972
11;2011;septembre;69461;138396;30808
12;2011;septembre;1443;354;572
13;2011;septembre;4019;1931;343
14;2011;septembre;0;0;0
15;2011;septembre;10;3;0
16;2011;septembre;53338;1900;9692
17;2011;septembre;38622;5194;79231
18;2011;septembre;4593;290;21
19;2011;septembre;0;177;4
2A;2011;septembre;457;217;94
2B;2011;septembre;3911;8554;1545
21;2011;septembre;19821;245;13
22;2011;septembre;0;0;0
23;2011;septembre;0;0;0
24;2011;septembre;55547;785;1343
25;2011;septembre;0;21;18
26;2011;septembre;38708;5166;1823
27;2011;septembre;0;0;0
28;2011;septembre;0;0;0
29;2011;septembre;0;0;0
30;2011;septembre;58908;113084;30528
31;2011;septembre;2354;633;216
32;2011;septembre;14268;55793;80201
33;2011;septembre;571528;608;10522
34;2011;septembre;39419;235789;40911
35;2011;septembre;0;0;0
36;2011;septembre;1190;409;632
37;2011;septembre;51540;272;1168
38;2011;septembre;277;99;28
39;2011;septembre;2798;24;17
40;2011;septembre;621;990;6596
41;2011;septembre;24148;6274;5297
42;2011;septembre;659;249;121
43;2011;septembre;0;0;0
44;2011;septembre;26146;5859;14261
45;2011;septembre;126;2;17
46;2011;septembre;17619;1876;2777
47;2011;septembre;10087;878;3476
48;2011;septembre;0;16;0
49;2011;septembre;20121;4824;2442
50;2011;septembre;0;0;0
51;2011;septembre;223862;0;32719
52;2011;septembre;0;0;138
53;2011;septembre;0;0;0
54;2011;septembre;432;25;0
55;2011;septembre;0;54;44
56;2011;septembre;0;0;0
57;2011;septembre;0;140;65
58;2011;septembre;3793;176;93
59;2011;septembre;0;0;0
60;2011;septembre;0;0;0
61;2011;septembre;0;0;0
62;2011;septembre;0;0;0
63;2011;septembre;352;21;65
64;2011;septembre;5994;0;48
65;2011;septembre;1415;50;214
66;2011;septembre;36847;12312;6723
67;2011;septembre;1060;0;8
68;2011;septembre;14330;0;105
69;2011;septembre;18297;95;218
70;2011;septembre;0;327;0
71;2011;septembre;36711;0;101
72;2011;septembre;291;12;12
73;2011;septembre;9160;187;67
74;2011;septembre;352;0;1
75;2011;septembre;0;0;0
76;2011;septembre;0;0;0
77;2011;septembre;0;0;0
78;2011;septembre;0;0;0
79;2011;septembre;1287;24;30
80;2011;septembre;0;0;0
81;2011;septembre;13929;21946;12795
