departement;annee;mois;AOP;IGP;sansIG;id_reg
01;2011;aout;1320;54;461;84
02;2011;aout;3674;0;30;32
03;2011;aout;1891;111;123;84
04;2011;aout;2211;3764;1026;93
05;2011;aout;0;503;4;93
06;2011;aout;0;0;0;93
07;2011;aout;12508;50233;3386;84
08;2011;aout;0;0;0;44
09;2011;aout;0;0;110;76
10;2011;aout;10693;0;818;44
11;2011;aout;59049;137470;59913;76
12;2011;aout;1214;253;436;76
13;2011;aout;16198;9416;1864;93
14;2011;aout;0;0;0;28
15;2011;aout;18;15;1;84
16;2011;aout;2360;738;5052;75
17;2011;aout;191;3015;1032;75
18;2011;aout;5850;206;25;24
19;2011;aout;0;411;4;75
2A;2011;aout;1382;333;173;94
2B;2011;aout;8022;16069;1982;94
21;2011;aout;21337;99;0;27
22;2011;aout;0;0;0;53
23;2011;aout;0;0;0;75
24;2011;aout;53483;430;513;75
25;2011;aout;0;19;19;27
26;2011;aout;45914;4681;1638;84
27;2011;aout;0;0;0;28
28;2011;aout;0;0;0;24
29;2011;aout;0;0;0;53
30;2011;aout;71580;138907;21959;76
31;2011;aout;3241;1865;956;76
32;2011;aout;19893;62151;45080;76
33;2011;aout;493590;359;11259;75
34;2011;aout;47844;212155;40834;76
35;2011;aout;0;0;0;53
36;2011;aout;812;8;123;24
37;2011;aout;37299;1011;873;24
38;2011;aout;643;101;126;84
39;2011;aout;3737;240;19;27
40;2011;aout;1165;1797;1571;75
41;2011;aout;16307;3349;2816;24
42;2011;aout;2864;1125;169;84
43;2011;aout;0;0;1;84
44;2011;aout;41176;7869;24247;52
45;2011;aout;498;14;7;24
46;2011;aout;18995;3764;1255;76
47;2011;aout;16910;169;2075;75
48;2011;aout;0;38;0;76
49;2011;aout;26220;3576;2416;52
50;2011;aout;0;0;0;28
51;2011;aout;43835;0;9795;44
52;2011;aout;0;0;161;44
53;2011;aout;0;0;0;52
54;2011;aout;409;29;0;44
55;2011;aout;0;90;49;44
56;2011;aout;0;0;0;53
57;2011;aout;160;0;70;44
58;2011;aout;2879;100;219;27
59;2011;aout;0;0;0;32
60;2011;aout;0;0;0;32
61;2011;aout;0;0;0;28
62;2011;aout;0;0;0;32
63;2011;aout;606;32;60;84
64;2011;aout;5723;0;59;75
65;2011;aout;185;0;34;76
66;2011;aout;31384;19822;3980;76
67;2011;aout;13921;0;7;44
68;2011;aout;18263;0;17;44
69;2011;aout;31466;93;317;84
70;2011;aout;0;292;0;27
71;2011;aout;52493;5;1471;27
72;2011;aout;289;21;88;52
73;2011;aout;6843;269;80;84
74;2011;aout;476;26;4;84
75;2011;aout;0;0;0;11
76;2011;aout;0;0;0;28
77;2011;aout;0;0;0;11
78;2011;aout;0;0;0;11
79;2011;aout;394;20;47;75
80;2011;aout;0;0;0;32
81;2011;aout;13466;11291;8984;76
82;2011;aout;1722;813;1021;76
83;2011;aout;70209;27662;4931;93
84;2011;aout;132186;29977;12917;93
85;2011;aout;1383;844;369;52
86;2011;aout;1336;242;662;75
87;2011;aout;0;0;0;75
88;2011;aout;0;0;14;44
89;2011;aout;23133;0;63;27
90;2011;aout;0;0;0;27
91;2011;aout;0;0;0;11
92;2011;aout;0;0;0;11
93;2011;aout;0;0;0;11
94;2011;aout;0;0;0;11
95;2011;aout;0;0;0;11
01;2011;septembre;959;42;332;84
02;2011;septembre;7386;0;2069;32
03;2011;septembre;1280;14;869;84
04;2011;septembre;176;444;4;93
05;2011;septembre;0;201;4;93
06;2011;septembre;0;0;0;93
07;2011;septembre;10018;50603;2022;84
